title,company,salary,location,career,education,employment,preferred,salary_detail,work_days,work_place
자율주행로봇 개발자,(주)베스텔라랩,,경기전체,경력 2~15년,"대졸(2,3년제) 이상",정규직,"우대사항상세보기전공컴퓨터/시스템공학, 기계/자동차/조선공학, 공학계열외국어 능력영어가능자활동/경험해당직무 근무경험※ 지원부문별 상이할 수 있으니, 상세요강에서 확인해주세요.닫기 - 우대사항 상세",,,"경기전체, 경기 안양시, 대구전체, 대구 동구"
자율 점검드론/로봇 개발자모집(7~10),(주)시에라베이스,,,경력 7~10년,대졸(4년제) 이상,정규직,"우대사항상세보기전공컴퓨터/시스템공학, 기계/자동차/조선공학, 공학계열외국어 능력영어가능자활동/경험해당직무 근무경험※ 지원부문별 상이할 수 있으니, 상세요강에서 확인해주세요.닫기 - 우대사항 상세",,,"울산전체, 울산 남구"
자율 점검드론/로봇 개발자모집(4~6),(주)시에라베이스,,,경력 4~6년,대졸(4년제) 이상,정규직,"우대사항상세보기전공컴퓨터/시스템공학, 기계/자동차/조선공학, 공학계열외국어 능력영어가능자활동/경험해당직무 근무경험※ 지원부문별 상이할 수 있으니, 상세요강에서 확인해주세요.닫기 - 우대사항 상세",,,"울산전체, 울산 남구"
자율 점검드론/로봇 개발자모집(1~3),(주)시에라베이스,,,경력 1~3년,대졸(4년제) 이상,정규직,"우대사항상세보기전공컴퓨터/시스템공학, 기계/자동차/조선공학닫기 - 우대사항 상세",,주 5일(월~금),"울산전체, 울산 남구"
자율점검 드론/로봇 개발자(석사이상),(주)시에라베이스,,,신입·경력 1년 ↓,석사졸업 이상(예정자 가능),정규직,"우대사항상세보기전공컴퓨터/시스템공학, 기계/자동차/조선공학닫기 - 우대사항 상세",,주 5일(월~금),"울산전체, 울산 남구"
(주)마젠타로보틱스 인공지능로봇 개발자,(주)마젠타로보틱스,,대전유성구,무관(신입포함),석사졸업 이상,정규직수습기간 3개월,"우대사항상세보기전공전기/전자공학, 컴퓨터/시스템공학, 공학계열자격/능력컴퓨터활용능력 우수닫기 - 우대사항 상세",,,대전 유성구지도
자율주행로봇 개발자모집,(주)로봇웨어에이아이,,대전유성구,경력 3년 ↑,대졸(4년제) 이상,정규직수습기간 3개월,"우대사항상세보기전공전기/전자공학, 컴퓨터/시스템공학외국어 능력영어능통자활동/경험해당직무 근무경험기타검사장비/자동화 설비 관련 SW 유경험자,
Visual C++ 활용 영상처리 SW / System Control SW 개발 가능자닫기 - 우대사항 상세",,,대전 유성구 (재택근무 가능)지도
[로봇 매니퓰레이터(다관절로봇)] 설계/제어/SW 개발자 모집,(주)로보티즈,,서울강서구,무관(신입포함),대졸(4년제) 이상(예정자 가능),"정규직, 계약직, 병역특례근무형태상세보기정규직수습기간 3개월계약직3개월, 정규직 전환 가능병역특례전문연구요원닫기 근무형태 상세 설명","우대사항상세보기전공컴퓨터/시스템공학, 기계/자동차/조선공학, 공학계열닫기 - 우대사항 상세",,주 5일(월~금),서울 강서구지도
[포항/서울] 이리온 자율주행 서빙로봇 SLAM 개발자 정규직 채용,(주)사람인에이치에스,,,경력 2년 ↑,대졸(4년제) 이상,정규직,,,주 5일(월~금),"경북 포항시 남구, 경주시, 안동시, 영주시, 포항시, 서울전체, 서울 강남구, 서대문구, 서초구, 종로구지도"
드론·로봇 통합 플랫폼을 함께 만들 백엔드 개발자,(주)모빌리티원,,서울중구,신입·경력 3년 ↓,대졸(4년제) 이상(예정자 가능),정규직수습기간 3개월,,,,서울 중구지도
[프론트엔드] 드론·로봇 통합 플랫폼 개발자 모집,(주)모빌리티원,,서울성동구,신입·경력 3년 ↓,대졸(4년제) 이상(예정자 가능),정규직수습기간 3개월,,,,서울 성동구지도
[포항/벤처기업] 로봇 비전 모델 개발자 정규직 채용(주거비 有),(주)사람인에이치에스,,,경력 5년 ↑,대졸(4년제) 이상,정규직,"우대사항상세보기전공컴퓨터/시스템공학활동/경험해당직무 인턴경력, 해당직무 근무경험닫기 - 우대사항 상세",,,"경북 포항시 남구, 경주시, 안동시, 영주시, 포항시, 부산 강서구, 금정구, 동구, 연제구, 해운대구지도"
[인천/업계상위/정규직] 로봇 AI 개발자 채용(1년 이상),(주)사람인에이치에스,,인천부평구,경력 1년 ↑,"대졸(2,3년제) 이상",정규직수습기간 3개월,"우대사항상세보기전공컴퓨터/시스템공학, 공학계열, 전기/전자공학기타- 원격탐사/공간정보/데이터처리 관련 자격증 보유자 - 원격탐사 또는 공간정보 분야 논문/학회 발표 경험 - 우주항공산업 관련 R&D 과제 및 용역과제 수행 경험 - Git 등 버...※ 지원부문별 상이할 수 있으니, 상세요강에서 확인해주세요.닫기 - 우대사항 상세",,,"인천 부평구, 계양구, 남동구, 서구, 중구, 경기 광명시, 군포시, 김포시, 안산시, 안양시지도"
[더아이엠씨] 로봇 SW 개발자,㈜더아이엠씨,,대구수성구,경력 2년 ↑,대졸(4년제) 이상,정규직수습기간 3개월,,,주 5일(월~금),"대구 수성구, 경북 경산시, 구미시지도"
로봇 소프트웨어 개발자 채용,(주)스마트뱅크,,부산연제구,경력(년수무관),대졸(4년제) 이상,정규직수습기간 2개월,우대사항상세보기전공공학계열활동/경험해당직무 근무경험보유역량외국인 지원 가능닫기 - 우대사항 상세,,,부산 연제구지도
[자율주행 R&D] 자율주행로봇 SW / 알고리즘 개발자 채용,코가로보틱스(주),,서울성동구,무관(신입포함),대졸(4년제) 이상(예정자 가능),정규직수습기간 3개월,"우대사항상세보기전공전기/전자공학, 컴퓨터/시스템공학, 공학계열활동/경험해당직무 인턴경력, 해당직무 근무경험닫기 - 우대사항 상세",,주 5일(월~금),서울 성동구지도
머신 비전 및 산업용 로봇 제어 개발자 모집,극동시스템,"6,000 만원",,경력 5년 ↑,학력무관,"정규직, 프리랜서근무형태상세보기정규직수습기간 3개월닫기 근무형태 상세 설명","우대사항상세보기전공화학공학, 공학계열근무조건인근거주자, 차량소지자활동/경험해당직무 근무경험닫기 - 우대사항 상세",,,경남 김해시지도
스마트팩토리 자율주행로봇 S/W 개발자 채용 / 경력,인아텍앤코포 (주),,인천남동구,무관(신입포함),"대졸(2,3년제) 이상",정규직수습기간 3개월,우대사항상세보기전공기계/자동차/조선공학활동/경험해당직무 근무경험기타반도체 / LCD 자동화설비 및 물류설비 설계닫기 - 우대사항 상세,,,인천 남동구지도
스마트팩토리 로봇관제 S/W 개발자,인아텍앤코포 (주),,인천전체,경력 1~5년,대졸(4년제) 이상,정규직,,,,"인천전체, 인천 남동구"
자율주행 로봇 AMR 개발자 연구원(주4일),프로솔루션,,,무관(신입포함),학력무관(예정자 가능),정규직수습기간 3개월,,,,경북 구미시 (재택근무 가능)지도
